frame,x,y
0,406.8048763,412.4033475
1,406.8048763,412.4033475
2,406.8051338,412.2339499
3,405.8274364,411.8470037
4,405.7693291,412.4619269
5,405.4954433,411.7547572
6,405.106802,412.0413458
7,405.2145767,411.9370294
8,405.2004433,411.8865931
9,404.5450401,412.1562839
10,404.5394897,411.9348407
11,404.2054653,411.3942361
12,404.0412998,411.3782716
13,403.6326885,411.3317943
14,403.5966396,411.4175713
15,403.1419659,411.4809787
16,402.7183056,411.1393511
17,402.3962402,410.7667923
18,401.760006,410.5699074
19,401.7778873,410.4006708
20,401.6798401,410.5317342
21,401.4134502,410.5628264
22,400.7435417,410.8414972
23,399.751997,411.2495899
24,399.6822739,411.1045253
25,399.7055054,411.3375235
26,399.4949055,411.127249
27,399.106493,411.5125859
28,399.1967869,411.5342796
29,399.1407967,411.5901554
30,399.1621971,411.7256606
31,398.9617252,411.0393155
32,398.4352684,410.6592572
33,398.1960011,410.6464469
34,397.6655674,410.8814406
35,397.4304771,411.0280502
36,397.3129749,410.7810509
37,396.7371941,410.9776461
38,395.534935,410.9599757
39,394.6743393,411.4652395
40,394.6190071,411.1843157
41,394.5791817,411.1342657
42,394.5200729,411.4754426
43,394.4630814,411.7197382
44,394.1316319,411.6992354
45,393.2721806,411.9812536
46,393.1163406,411.0878205
47,393.0552292,410.9484851
48,392.5566101,410.776931
49,392.4261475,411.2650073
50,392.4682331,410.7775426
51,391.9129658,410.8905172
52,391.5464401,410.9150112
53,391.2126732,411.4962029
54,390.5753517,412.1972895
55,390.3115654,411.8711114
56,390.1367569,412.2355914
57,390.1761532,412.0517421
58,390.0893497,412.5393355
59,389.7462845,412.7592015
60,389.5971107,412.8886878
61,389.455862,413.3457685
62,389.3303776,412.9724693
63,389.1529369,412.8795469
64,388.6793232,412.5048316
65,388.516531,412.4036694
66,388.3522224,412.4719369
67,388.4853172,412.1978045
68,388.0729008,413.0447602
69,387.8586102,412.5051534
70,387.2846031,412.2940421
71,387.0311165,412.3451543
72,387.4002743,411.7404985
73,387.186842,412.0156932
