frame,x,y
0,343.8709831,254.2050344
1,343.8709831,254.2050344
2,343.867979,254.11834
3,343.7104225,253.873964
4,343.5580158,253.7358195
5,343.3365154,253.4926021
6,343.1212521,253.3214343
7,342.8957462,253.6527944
8,342.5372028,253.7775975
9,342.2146511,253.9211333
10,342.0490837,254.0282661
11,341.8793392,253.9844924
12,341.4280701,254.1421741
13,340.5807781,254.1867203
14,339.7695923,254.48488
15,339.4363117,254.3642932
16,339.0300179,254.1689694
17,339.0220356,253.9810967
18,338.6122513,253.7664127
19,338.354702,253.7595087
20,338.0946636,253.9145833
21,337.630434,253.9028352
22,337.30937,253.7297201
23,337.2348404,253.8514978
24,336.9687366,253.9052331
25,336.2839222,254.002887
26,335.9099865,254.067598
27,335.4064465,254.3590468
28,335.2842808,253.9700568
29,335.2074909,254.0208149
30,335.2718639,254.3826234
31,335.1064968,254.350453
32,334.7408581,254.3160135
33,334.5691109,254.7429192
34,334.4167614,254.8741275
35,334.0957832,254.8302412
36,333.7211609,254.8174793
37,333.69524,254.6622759
38,333.0085373,254.6137708
39,332.8145313,255.1929832
40,332.6539135,255.0363314
41,332.5332069,255.221597
42,332.3671246,255.4053658
43,331.5396023,255.3992665
44,331.263485,255.6358373
45,331.0501385,255.6541675
46,330.3684425,256.2274414
47,330.1296902,255.9043372
48,329.5031548,255.9056568
49,329.6871758,255.8296806
50,329.018755,255.6794661
51,329.1166019,255.5839205
52,328.579731,255.4721528
53,328.0864906,255.699631
54,327.8490543,255.8914787
55,327.5743103,255.9397584
56,327.4495125,255.9558356
57,327.0480824,255.8939892
58,326.8634319,255.5325991
59,326.412077,255.8301312
60,326.2020493,256.1198741
61,325.7249165,256.1029601
62,325.6462383,256.2725186
63,325.0968361,256.1980551
64,324.6454239,256.1971378
65,324.2481995,256.1348248
66,323.743372,256.2445647
67,323.3702087,256.0480338
68,322.7754307,256.2253976
69,322.6491165,255.8372605
70,322.3529148,255.4192382
71,321.7473221,255.5111468
72,321.4820766,255.3132159
73,321.0206509,255.2100742
74,320.0541401,255.4586184
75,319.5911121,255.4352832
76,319.1953182,255.1617783
77,318.8801765,254.8701364
78,318.6097527,255.000186
79,318.3078289,254.9873275
80,317.9096889,254.8789394
81,317.9213047,254.9720228
82,318.1252098,255.4667133
83,318.5627747,255.7114756
84,318.6613941,255.582118
85,318.9725876,255.2021563
86,319.2713928,255.3002286
87,319.5223618,255.6356442
88,319.6512794,255.757454
89,320.1737022,255.5963123
90,320.4133415,255.1018953
91,320.6482315,254.8251879
92,320.8936787,254.9884218
93,321.186161,254.9203956
94,321.3562489,254.5822924
95,321.5716839,254.4070208
96,321.8436527,254.6800268
97,322.0651245,254.6278685
98,322.3952866,254.6471965
99,322.6171017,254.4145364
100,322.6782703,254.1095209
101,323.0475998,254.15595
102,323.3613682,254.2343241
103,323.6270714,254.2151088
104,323.7975025,253.998912
105,323.739109,253.8399267
106,324.0143108,253.7173605
107,324.5577049,254.1096497
108,324.3528271,253.4669977
109,325.0230217,253.4674484
110,325.4631615,253.4936965
111,325.6962204,253.265478
112,325.7754993,253.1500733
113,325.8027363,253.2612777
114,326.081028,253.0820954
115,326.1118412,253.0660504
116,326.6982651,253.2161522
117,327.182579,253.5623181
118,327.3120117,253.3736569
119,327.8025341,253.1814712
120,327.7011681,253.2620502
121,327.8087997,252.8712416
122,327.9355145,252.7960861
123,328.4721565,252.4884313
124,328.6699963,252.5831401
125,328.8674641,252.095595
126,329.092598,251.9834089
127,329.6658325,252.169624
128,329.5878696,252.4395078
129,330.0809956,252.2429127
130,329.983263,251.9904417
131,330.2093697,251.8937856
132,330.2656174,251.9077384
133,330.4256916,251.8658155
134,330.5892563,251.7824042
135,330.7295322,251.8277711
136,330.7474709,251.7194313
137,330.4757881,250.9650278
138,330.6288815,250.4342723
139,331.3387871,251.1846042
140,331.7674541,251.5004987
141,332.0191097,251.9500154
142,332.2562599,251.6205543
143,332.0371914,251.9675893
144,332.4518108,252.4666572
145,332.7476692,251.6664684
146,332.5539494,251.7207348
